name,slug,born_year,died_year,bio,title,dynasty,is_saint,burial_place,image
Stefan Dečanski,stefan-decanski,1276,1331,"Kratak opis:
Tragična ali velika ličnost srpske istorije, pobednik kod Velbužda i ktitor manastira Visoki Dečani.

Biografija:
Stefan Dečanski je život proveo u senci teških porodičnih i političkih sukoba. Kao sin kralja Milutina doživeo je pobunu, kaznu, progonstvo i oslepljenje, pa je veliki deo mladosti proveo u izuzetno nepovoljnim okolnostima. Upravo ta životna težina oblikovala je njegovu ličnost i ostavila trag na njegovoj vladavini.

Posle Milutinove smrti uspeo je da odnese pobedu nad suparnicima i preuzme srpski presto. Njegov najveći politički i vojni uspeh bila je bitka kod Velbužda 1330. godine, kada je srpska vojska porazila Bugare i time odlučujuće učvrstila srpski položaj na Balkanu. Taj trijumf ga je uzdigao u očima savremenika, ali nije uspeo da mu obezbedi dugotrajnu unutrašnju stabilnost.

U odnosima sa vlastelom i u vođenju politike nije uvek pokazivao onu energiju koju su okolnosti tražile. Nezadovoljstvo je raslo, a njegov sin Dušan uspeo je da ga zbaci sa prestola. Dečanski je zatvoren i ubrzo je umro, pa je njegova sudbina ostala upamćena kao duboko tragična.

Značaj kao ktitora:
Stefan Dečanski je jedan od najvažnijih srpskih ktitora jer je podigao Visoke Dečane, jednu od najvećih i najznačajnijih srpskih srednjovekovnih svetinja.

Zadužbine i veze sa svetinjama:
Njegova najpoznatija zadužbina je manastir Visoki Dečani. Ta svetinja predstavlja vrhunac srednjovekovnog graditeljstva i snažan spomenik vladareve vere, ugleda i istorijske ambicije.

Istorijski značaj:
Dečanski je ostao upamćen kao pobednik kod Velbužda, tragični vladar i ktitor jedne od najveličanstvenijih srpskih svetinja.",Kralj,Nemanjići,1,Manastir Visoki Dečani,images/ktitors/stefan-decanski.jpg

Car Dušan,car-dusan,1308,1355,"Kratak opis:
Najmoćniji srpski srednjovekovni vladar, tvorac Srpskog carstva i zakonodavac čija je država dostigla najveći obim.

Biografija:
Car Dušan je stupio na presto kao veoma mlad, ali izuzetno energičan i ambiciozan vladar. Još od ranih godina nosio je iskustvo teških političkih prilika, boravka u Carigradu i složenih porodičnih odnosa, pa je brzo sazreo za velike državničke odluke. Kada je preuzeo vlast, Srbija je već bila snažna država, ali je on uspeo da tu snagu pretvori u veliki osvajački i državni poduhvat.

Koristeći slabosti Vizantije i građanski rat u njoj, Dušan je proširio vlast nad velikim delom Makedonije, Epira i Tesalije. Zauzimanje Sereza imalo je poseban simbolički i strateški značaj, jer je time njegov put ka stvaranju većeg državnog oblika postao jasniji. Uvideo je da dotadašnji rang kraljevine više ne odgovara stvarnom obimu i ambiciji njegove države, pa se 1346. godine u Skoplju krunisao za cara. Istovremeno je srpska arhiepiskopija uzdignuta na rang patrijaršije.

Dušanovo delo bilo je veliko, ali i teško održivo. Njegova zamisla o srpsko-vizantijskom carstvu bila je smela i istorijski snažna, ali je država bila sastavljena od različitih oblasti, stanovništva i tradicija koje nisu bile do kraja stopljene u jedinstvenu celinu. Ipak, njegova energija, vojni uspeh i državna organizacija držali su to carstvo na okupu.

Pored osvajanja, Dušan je ostao upamćen i po Dušanovom zakoniku — jednom od najvažnijih pravnih spomenika srednjovekovne Evrope. U njemu se vidi njegova težnja da veliku državu uredi zakonima, hijerarhijom i odgovornošću.

Značaj kao ktitora:
Dušan je bio veliki zaštitnik crkve i nastavio je nemanjićku tradiciju ktitorstva. Njegov odnos prema svetinjama bio je deo šire državne ideje i vladarskog ugleda.

Zadužbine i veze sa svetinjama:
Za njegovo ime vezuju se Sveti Arhangeli kod Prizrena, podrška Hilandaru i drugim svetinjama, kao i snažna zaštita crkvenog poretka u vreme kada je Srbija postala carstvo.",Car,Nemanjići,0,Manastir Sveti Arhangeli,images/ktitors/car-dusan.jpg
Uroš Nejaki (Car Uroš),uros-nejaki,1336,1371,"Kratak opis:
Poslednji vladar iz glavne loze Nemanjića, blag i slab vladar koji je nasledio veliko carstvo ali nije uspeo da ga održi.

Biografija:
Car Uroš nasledio je od oca ogromnu i složenu državu, sastavljenu od mnogih oblasti koje su bile različite po jeziku, tradiciji, političkoj kulturi i stepenu vezanosti za srpsko državno središte. Teret takve države bio bi težak i za iskusnog i snažnog vladara, a kamoli za mladog čoveka meke prirode, kakav je bio Uroš.

Savremenici i kasnija tradicija zapamtili su ga kao neodlučnog i povodljivog. Nije imao onu silinu kojom bi obuzdao ambiciozne velikaše niti onu političku energiju kojom bi učvrstio ogromno carstvo. U njegovo vreme oblastni gospodari postajali su sve samostalniji, a raspad dušanove države polako je prelazio iz prikrivene slabosti u vidljivu stvarnost.

Ipak, nije čitava krivica bila samo na njemu. Država koju je nasledio bila je unutrašnje nedovoljno povezana, sa jakim centrifugalnim silama koje su samo čekale povoljan trenutak da se odvoje. Uroš nije uspeo da zaustavi taj proces, ali ga nije ni stvorio.

Značaj kao ktitora:
Uroš nije ostao upamćen kao veliki graditelj i ktitor poput svojih prethodnika, ali se i njegovo ime nalazi u krugu vladara koji su čuvali vezu sa crkvom i svetinjama.

Zadužbine i veze sa svetinjama:
Njegov ktitorski značaj je skromniji, a istorijska pažnja više je usmerena na raspad države u njegovo vreme nego na graditeljsku delatnost.

Istorijski značaj:
Smrću cara Uroša ugašena je glavna loza Nemanjića. Zato on zauzima važno mesto u istoriji kao poslednji vladar jedne velike dinastije i svedok kraja jednog državnog doba.",Car,Nemanjići,0,Manastir Matejić,images/ktitors/uros-nejaki.jpg

Sveti Sava,sveti-sava,1175,1236,"Kratak opis:
Najznačajnija ličnost srpske crkvene istorije, prvi srpski arhiepiskop i jedan od najvećih duhovnih ktitora srpskog naroda.

Biografija:
Sveti Sava, rođen kao Rastko Nemanjić, bio je najmlađi sin Stefana Nemanje. Iako je mogao da gradi svetovnu vladarsku karijeru, izabrao je monaški put i otišao na Svetu Goru. Tamo je sazreo kao duhovna i kulturna ličnost, a zajedno sa ocem Simeonom učestvovao je u podizanju i učvršćivanju Hilandara.

Njegova najveća istorijska uloga ogleda se u tome što je 1219. godine izborio samostalnost Srpske crkve i postao njen prvi arhiepiskop. Time je učvrstio ne samo crkveni poredak, nego i duhovni identitet srpske države. Putovao je, mirio zavađene, uređivao crkveni život, podizao ugled Srbije i ostavio snažan trag u obrazovanju, književnosti i zakonodavstvu.

Značaj kao ktitora:
Sveti Sava je jedan od najvažnijih ktitora u srpskoj istoriji, ne samo kao graditelj nego i kao duhovni osnivač brojnih institucija i svetinja.

Zadužbine i veze sa svetinjama:
Najviše je vezan za Hilandar, Žiču, Studenicu i celokupno uređenje srpske crkve. Njegov trag u srpskoj duhovnoj kulturi je neuporediv.

Istorijski značaj:
Sveti Sava je ostao simbol duhovnosti, prosvete i crkvenog identiteta srpskog naroda.",Arhiepiskop,Nemanjići,1,Manastir Mileševa,images/ktitors/sveti-sava.jpg
Ana Dandolo,ana-dandolo,1190,1258,"Kratak opis:
Mletačka princeza i supruga Stefana Prvovenčanog, kraljica Srbije i važna ličnost u povezivanju srpskog dvora sa zapadnim svetom.

Biografija:
Ana Dandolo poticala je iz ugledne mletačke porodice i udajom za Stefana Prvovenčanog postala je srpska kraljica. Njen brak imao je i politički značaj, jer je učvršćivao veze Srbije sa zapadnim državnim i trgovačkim krugovima. U vremenu kada je Srbija tražila međunarodno priznanje i učvršćenje svog položaja, takve veze bile su veoma važne.

Iako u istorijskim izvorima nije prikazana toliko opširno kao pojedini vladari, Ana zauzima važno mesto u istoriji dvora Nemanjića. Kao kraljica, učestvovala je u reprezentativnom i dinastičkom životu države i pripadala je krugu žena koje su svojim poreklom, ugledom i vezama doprinosile jačanju prestiža srpskog dvora.

Značaj kao ktitora:
Ana Dandolo se vezuje za dvorski i crkveni život u vreme prvih kraljevskih Nemanjića i za podsticanje ugleda srpske države i njene kulture.

Zadužbine i veze sa svetinjama:
Njeno ime se dovodi u vezu sa podrškom crkvenim ustanovama i sa kulturnim životom dvora, iako nije ostavila tako prepoznatljivu samostalnu zadužbinu kao neki vladari.

Istorijski značaj:
Važna je kao kraljica Srbije i kao ličnost koja simbolizuje širenje međunarodnih veza srpske države u vreme Stefana Prvovenčanog.",Kraljica,Nemanjići,0,Manastir Žiča,images/ktitors/ana-dandolo.jpg

Ana (žena Stefana Nemanje),ana-zena-stefana-nemanje,1125,1200,"Kratak opis:
Supruga Stefana Nemanje i majka Svetog Save, Stefana Prvovenčanog i Vukana, važna ličnost u porodici koja je oblikovala početke dinastije Nemanjića.

Biografija:
Ana, u monaštvu Anastasija, zauzima važno mesto u ranom periodu nemanjićke dinastije. Kao supruga Stefana Nemanje bila je deo porodice koja je postavila temelje srpske države i srpske duhovne tradicije. Njena uloga ne meri se političkim odlukama kao kod vladara, već tišim, ali veoma važnim prisustvom u porodici iz koje su potekle ključne ličnosti srpske istorije.

Kao majka Svetog Save i Stefana Prvovenčanog, ona pripada korenu nemanjićkog državnog i duhovnog nasleđa. Predanje i crkvena tradicija pamte je kao pobožnu i uglednu ženu, duboko vezanu za veru i hrišćanski život. U starosti se zamonašila, kao i njen muž, čime je njen život dobio i duhovni završetak.

Značaj kao ktitora:
Njeno ime je važno u okviru nemanjićke zadužbinarske tradicije i kao deo porodice koja je snažno podržavala crkvu i svetinje.

Zadužbine i veze sa svetinjama:
Vezuje se za duhovni krug Studenice i za tradiciju koju su nastavili njeni sinovi i potomci. Poštovana je kao Sveta Anastasija.

Istorijski značaj:
Važna je kao praosnova najznačajnije srpske srednjovekovne porodice i kao žena čija je pobožnost ostala deo crkvenog i narodnog pamćenja.",Kraljica,Nemanjići,1,Manastir Studenica,images/ktitors/ana-zena-stefana-nemanje.jpg
Carica Jelena,carica-jelena,1310,1376,"Kratak opis:
Supruga cara Dušana i majka cara Uroša, jedna od najuglednijih žena srpske srednjovekovne istorije.

Biografija:
Carica Jelena bila je žena cara Dušana i ličnost visokog ugleda na srpskom dvoru u vreme najveće moći srpske države. Kao carica učestvovala je u reprezentativnom i dinastičkom životu carstva, a njena uloga postajala je posebno važna u složenim odnosima sa susednim državama i u očuvanju ugleda carskog doma.

Savremenici je pamte kao dostojanstvenu i uticajnu ženu. U vremenu velikih državnih pretenzija i snažnog dvorskog ceremonijala, Jelena je pripadala samom vrhu političkog i društvenog života. Posle Dušanove smrti njen položaj ostao je značajan, a i dalje je imala uticaja u državnim i crkvenim krugovima.

Značaj kao ktitora:
Carica Jelena je važna kao zaštitnica crkve i kao žena koja je podržavala duhovni i kulturni život srpskog carstva.

Zadužbine i veze sa svetinjama:
Njeno ime se vezuje za podršku manastirima i crkvenim ustanovama, a posebno za svetinje sa kojima je bio povezan carski dvor Nemanjića.

Istorijski značaj:
Ostala je zapamćena kao carica u vreme vrhunca srpske moći i kao jedna od najistaknutijih žena srpskog srednjeg veka.",Carica,Nemanjići,0,Manastir Sveti Arhangeli,images/ktitors/carica-jelena.jpg

Jelena Anžujska,jelena-anzujska,1236,1314,"Kratak opis:
Kraljica Srbije, supruga Uroša I i jedna od najvažnijih srednjovekovnih žena u srpskoj istoriji, poznata po pobožnosti i zadužbinarstvu.

Biografija:
Jelena Anžujska bila je žena kralja Uroša I i majka Dragutina i Milutina. Po poreklu povezana sa zapadnim plemićkim krugovima, a po životu duboko uronjena u srpsku sredinu, uspela je da spoji plemenito držanje, političku važnost i izrazitu pobožnost. U istoriji je ostala upamćena kao obrazovana, mudra i dobrotvorna vladarka.

Posle muževljevog pada zadržala je ugled i uticaj, a upravljala je i posebnim oblastima. Bila je naklonjena i pravoslavnom i katoličkom stanovništvu u krajevima pod njenom upravom, što govori o njenoj širini i sposobnosti da održava red u složenim sredinama.

Značaj kao ktitora:
Jelena Anžujska spada među najpoznatije srpske ktitore među vladarkama. Njen rad na zadužbinama, dobrotvornim delima i zaštiti crkve ostavio je dubok trag.

Zadužbine i veze sa svetinjama:
Najpoznatije se vezuje za Gradac, svoju čuvenu zadužbinu, kao i za pomaganje crkava, škola i siromašnih. Gradac je jedan od najlepših spomenika srpske srednjovekovne arhitekture.

Istorijski značaj:
Ostala je upamćen kao mudra kraljica, majka dvojice kraljeva i velika ktitorka sa trajnim ugledom u srpskoj istoriji.",Kraljica,Anžujci,1,Manastir Gradac,images/ktitors/jelena-anzujska.jpg
Kneginja Milica,kneginja-milica,1335,1405,"Kratak opis:
Supruga kneza Lazara, vladarka i monahinja, jedna od najvažnijih žena srpske pozne srednjovekovne istorije.

Biografija:
Kneginja Milica bila je žena kneza Lazara i posle Kosovske bitke jedna od ključnih ličnosti u vođenju srpske države. U vremenu velike opasnosti, kada je zemlja ostala bez kneza i kada su se posledice boja na Kosovu tek pokazivale, Milica je pokazala političku razboritost, strpljenje i sposobnost da očuva državu i dinastički kontinuitet.

Njena ličnost spaja vladarsku odgovornost i duboku pobožnost. Posle aktivne političke uloge zamonašila se kao Evgenija, ali je i tada ostala važna figura srpskog duhovnog i kulturnog života.

Značaj kao ktitora:
Milica je veoma važna kao ktitorka i dobrotvorka, naročito u okviru lazarevićkog i moravskog duhovnog kruga.

Zadužbine i veze sa svetinjama:
Vezuje se za Ljubostinju, svoju najpoznatiju zadužbinu, kao i za snažnu podršku crkvi u teškom vremenu posle Kosovske bitke.

Istorijski značaj:
Ostala je simbol dostojanstva, vere i državničke mudrosti u jednom od najtežih razdoblja srpske istorije.",Kneginja,Hrebeljanovići,1,Manastir Ljubostinja,images/ktitors/kneginja-milica.jpg

Knez Lazar Hrebeljanović,lazar-hrebveljanovic,1329,1389,"Kratak opis:
Jedan od najvažnijih srpskih vladara pozne srednjovekovne Srbije, knez i veliki ktitor, simbol Kosova i duhovnog opredeljenja.

Biografija:
Knez Lazar Hrebeljanović uzdigao se u vremenu posle raspada Dušanovog carstva, kada su srpske zemlje bile podeljene među više velikaša. Uspeo je da postane najvažniji gospodar među njima, da oko sebe okupi značajan deo srpskih oblasti i da obnovi ideju državnog i duhovnog središta.

Njegova vladavina bila je obeležena nastojanjem da se očuva poredak, učvrsti crkva i zaštiti zemlja od nadolazeće osmanske opasnosti. Kao vladar ostao je duboko urezan u istoriju zbog Kosovske bitke 1389. godine, posle koje je u narodnoj i crkvenoj tradiciji dobio gotovo zavetni značaj.

Značaj kao ktitora:
Knez Lazar je bio veliki ktitor i zaštitnik crkve. Njegov zadužbinarski rad bio je tesno povezan sa duhovnim preporodom i kulturnim razvojem Moravske Srbije.

Zadužbine i veze sa svetinjama:
Najpoznatija njegova zadužbina je Ravanica, jedan od najvažnijih manastira srpske istorije. Vezuje se i za podršku više svetinja i crkvenih ustanova.

Istorijski značaj:
Knez Lazar je ostao simbol vere, žrtve, državne odgovornosti i kosovskog zaveta u srpskoj istoriji.",Knez,Hrebeljanovići,1,Manastir Ravanica,images/ktitors/knez-lazar.jpg
