slug,intro,history,architecture,ktitor_text,art_frescoes,interesting_facts,sources_json
novo-hopovo,Manastir Novo Hopovo je značajna pravoslavna svetinja i duhovno mesto u oblasti Fruška gora.,"Istorijat Manastir Novo Hopovo obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Novo Hopovo prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Novo Hopovo čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Novo Hopovo obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Novo Hopovo predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
staro-hopovo,Manastir Staro Hopovo je značajna pravoslavna svetinja i duhovno mesto u oblasti Fruška gora.,"Istorijat Manastir Staro Hopovo obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Staro Hopovo prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Staro Hopovo čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Staro Hopovo obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Staro Hopovo predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
jazak,Manastir Jazak je značajna pravoslavna svetinja i duhovno mesto u oblasti Fruška gora.,"Istorijat Manastir Jazak obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Jazak prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Jazak čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Jazak obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Jazak predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
vrdnik-ravanica,Manastir Vrdnik-Ravanica je značajna pravoslavna svetinja i duhovno mesto u oblasti Fruška gora.,"Istorijat Manastir Vrdnik-Ravanica obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Vrdnik-Ravanica prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Vrdnik-Ravanica čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Vrdnik-Ravanica obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Vrdnik-Ravanica predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
velika-remeta,Manastir Velika Remeta je značajna pravoslavna svetinja i duhovno mesto u oblasti Fruška gora.,"Istorijat Manastir Velika Remeta obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Velika Remeta prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Velika Remeta čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Velika Remeta obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Velika Remeta predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
mala-remeta,Manastir Mala Remeta je značajna pravoslavna svetinja i duhovno mesto u oblasti Fruška gora.,"Istorijat Manastir Mala Remeta obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Mala Remeta prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Mala Remeta čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Mala Remeta obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Mala Remeta predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
besenovo,Manastir Bešenovo je značajna pravoslavna svetinja i duhovno mesto u oblasti Fruška gora.,"Istorijat Manastir Bešenovo obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Bešenovo prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Bešenovo čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Bešenovo obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Bešenovo predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
petkovica-fruska-gora,Manastir Petkovica (Fruška gora) je značajna pravoslavna svetinja i duhovno mesto u oblasti Fruška gora.,"Istorijat Manastir Petkovica (Fruška gora) obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Petkovica (Fruška gora) prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Petkovica (Fruška gora) čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Petkovica (Fruška gora) obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Petkovica (Fruška gora) predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
kuvezdin,Manastir Kuveždin je značajna pravoslavna svetinja i duhovno mesto u oblasti Fruška gora.,"Istorijat Manastir Kuveždin obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Kuveždin prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Kuveždin čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Kuveždin obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Kuveždin predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
divsa,Manastir Divša je značajna pravoslavna svetinja i duhovno mesto u oblasti Srem.,"Istorijat Manastir Divša obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Divša prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Divša čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Divša obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Divša predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
privina-glava,Manastir Privina Glava je značajna pravoslavna svetinja i duhovno mesto u oblasti Srem.,"Istorijat Manastir Privina Glava obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Privina Glava prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Privina Glava čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Privina Glava obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Privina Glava predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
fenek,Manastir Fenek je značajna pravoslavna svetinja i duhovno mesto u oblasti Srem.,"Istorijat Manastir Fenek obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Fenek prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Fenek čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Fenek obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Fenek predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
rakovica,Manastir Rakovica je značajna pravoslavna svetinja i duhovno mesto u oblasti Beograd.,"Istorijat Manastir Rakovica obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Rakovica prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Rakovica čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Rakovica obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Rakovica predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
slanci,Manastir Slanci je značajna pravoslavna svetinja i duhovno mesto u oblasti Beograd.,"Istorijat Manastir Slanci obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Slanci prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Slanci čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Slanci obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Slanci predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
rajinovac,Manastir Rajinovac je značajna pravoslavna svetinja i duhovno mesto u oblasti Beograd.,"Istorijat Manastir Rajinovac obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Rajinovac prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Rajinovac čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Rajinovac obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Rajinovac predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
tresije,Manastir Tresije je značajna pravoslavna svetinja i duhovno mesto u oblasti Kosmaj.,"Istorijat Manastir Tresije obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Tresije prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Tresije čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Tresije obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Tresije predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
pavlovac,Manastir Pavlovac je značajna pravoslavna svetinja i duhovno mesto u oblasti Kosmaj.,"Istorijat Manastir Pavlovac obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Pavlovac prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Pavlovac čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Pavlovac obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Pavlovac predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
